,category_code,status,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,lat,lng
5,advertising,1,2007,other,5.0,125371133.0,1.0,2.0,30.4277547,-9.5981072
12,advertising,1,2008,USA,5.0,125371133.0,1.0,2.0,35.686975200000006,-105.937799
15,games_video,1,2008,USA,5.0,125371133.0,1.0,3.0,33.0786552,-116.60196370000001
19,other,1,2007,USA,5.0,68069200.0,1.0,14.0,37.7749295,-122.4194155
22,software,1,2011,AUS,5.0,125371133.0,1.0,2.0,49.0504377,-122.3044697
30,consulting,1,2009,USA,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155
31,other,1,2012,USA,5.0,125371133.0,4.0,3.0,36.0318578,-84.02765500000001
34,advertising,1,2004,AUS,5.0,125371133.0,1.0,1.0,-35.2962556,139.038277
44,games_video,1,2008,other,5.0,125371133.0,1.0,1.0,35.6092261,139.7301861
52,other,1,2007,IND,5.0,125371133.0,1.0,2.0,12.9715987,77.5945627
53,advertising,1,2006,other,5.0,125371133.0,1.0,1.0,30.0444196,31.235711600000005
55,ecommerce,1,2008,ISR,5.0,125371133.0,1.0,2.0,32.0852999,34.7817676
57,other,1,1983,USA,5.0,125371133.0,1.0,1.0,43.071755200000005,-70.7625532
59,public_relations,1,2007,USA,5.0,125371133.0,1.0,3.0,42.4894801,-83.1446485
60,software,1,2001,USA,5.0,125371133.0,1.0,3.0,42.633424700000006,-71.3161718
62,games_video,1,2008,GBR,5.0,125371133.0,1.0,3.0,51.5073509,-0.12775830000000002
63,hardware,2,1986,USA,5.0,125371133.0,1.0,1.0,41.3253756,-72.1931338
65,software,1,2004,other,5.0,125371133.0,1.0,1.0,13.7563309,100.5017651
66,mobile,2,2005,USA,7.0,121500000.0,3.0,45.0,42.360082500000004,-71.0588801
78,ecommerce,1,2008,USA,5.0,125371133.0,3.0,5.0,37.8590937,-122.4852507
83,mobile,1,2007,USA,5.0,125371133.0,2.0,10.0,40.7127753,-74.0059728
84,ecommerce,1,2011,other,5.0,125371133.0,1.0,2.0,48.208174299999996,16.3738189
85,software,1,2011,GBR,5.0,125371133.0,1.0,2.0,32.5631924,-97.1416768
87,other,1,2008,IRL,5.0,125371133.0,1.0,5.0,51.896891700000005,-8.486315699999999
92,enterprise,1,1998,NLD,5.0,125371133.0,1.0,2.0,52.473930599999996,6.068175800000001
97,consulting,1,2006,GBR,5.0,125371133.0,1.0,1.0,53.8007554,-1.5490774
98,web,1,2008,USA,5.0,125371133.0,1.0,1.0,37.8043637,-122.27111370000002
101,software,1,1978,USA,5.0,125371133.0,1.0,4.0,34.038078399999996,-84.58157170000001
102,consulting,1,2004,GBR,5.0,125371133.0,1.0,1.0,51.41233,-0.300689
108,ecommerce,1,2010,NLD,5.0,125371133.0,1.0,2.0,52.3702157,4.895167900000001
112,mobile,1,2007,USA,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155
113,software,1,2011,USA,5.0,125371133.0,1.0,3.0,41.223,-111.9738304
116,software,1,1999,USA,5.0,125371133.0,1.0,3.0,31.808767800000002,-85.969951
119,public_relations,1,1978,USA,5.0,125371133.0,1.0,5.0,37.441883399999995,-122.14301950000001
121,software,1,2008,USA,5.0,125371133.0,1.0,3.0,33.158093300000004,-117.3505939
127,other,1,2001,USA,5.0,125371133.0,1.0,4.0,26.7153424,-80.0533746
134,ecommerce,1,2006,USA,5.0,46400000.0,2.0,20.0,42.360082500000004,-71.0588801
136,software,3,2008,USA,5.0,125371133.0,1.0,2.0,32.715738,-117.1610838
137,games_video,1,2008,USA,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155
143,web,1,2007,USA,5.0,125371133.0,3.0,8.0,37.7749295,-122.4194155
150,advertising,1,2010,USA,5.0,125371133.0,1.0,5.0,26.1275862,-80.23310359999999
152,web,2,2002,USA,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155
154,public_relations,1,1971,USA,5.0,125371133.0,3.0,23.0,40.7127753,-74.0059728
160,web,1,2007,USA,5.0,125371133.0,1.0,2.0,26.3683064,-80.1289321
166,web,1,2008,GBR,5.0,125371133.0,1.0,3.0,51.5073509,-0.12775830000000002
173,web,1,2011,USA,5.0,125371133.0,1.0,2.0,37.3860517,-122.08385109999999
175,ecommerce,1,2011,USA,5.0,125371133.0,1.0,3.0,40.2968979,-111.69464750000002
180,advertising,1,2011,USA,5.0,125371133.0,1.0,3.0,27.950575,-82.4571776
183,consulting,1,2001,USA,5.0,125371133.0,1.0,1.0,32.7766642,-96.7969879
193,ecommerce,2,2011,other,5.0,125371133.0,1.0,2.0,1.352083,103.819836
